run,flat_displacement,sharp_displacement,total_displacement,final_train_loss,final_test_loss,generalization_gap
155,0.001211630180478096,0.2797614336013794,3.744786500930786,1.00338613986969,1.150151550769806,0.14676541090011597
156,0.0011182333109900355,0.2670092284679413,3.7333176136016846,1.0006085634231567,1.141960322856903,0.14135175943374634
157,0.001091857673600316,0.2840152382850647,3.736274480819702,1.0015747547149658,1.1400282382965088,0.13845348358154297
158,0.0010666267480701208,0.2619920074939728,3.726078748703003,1.0043832063674927,1.148033857345581,0.14365065097808838
159,0.0013998979702591896,0.28604254126548767,3.732405662536621,1.0029239654541016,1.1437052488327026,0.14078128337860107
160,0.0014618294080719352,0.2845485806465149,3.7472498416900635,1.0004690885543823,1.1473156809806824,0.14684659242630005
161,0.00117108307313174,0.28078198432922363,3.777710437774658,0.9985225796699524,1.1488973498344421,0.15037477016448975
162,0.0012844137381762266,0.2715701758861542,3.7537200450897217,1.0010634660720825,1.1439921855926514,0.14292871952056885
163,0.0010234650690108538,0.2512211501598358,3.7437744140625,1.000624656677246,1.1406126022338867,0.13998794555664062
164,0.0012560350587591529,0.28186917304992676,3.7167694568634033,1.0045228004455566,1.152130901813507,0.14760810136795044
165,0.00111919897608459,0.27478617429733276,3.743453025817871,1.0024672746658325,1.1454783082008362,0.14301103353500366
166,0.0014139710692688823,0.27454841136932373,3.7329154014587402,1.0024737119674683,1.1461576223373413,0.14368391036987305
167,0.0010813939152285457,0.2512158751487732,3.725238800048828,1.0039149522781372,1.144271194934845,0.14035624265670776
168,0.0012480095028877258,0.2856016159057617,3.7532763481140137,1.0004713535308838,1.1440954804420471,0.14362412691116333
169,0.0012713188771158457,0.26481595635414124,3.7373058795928955,1.000938892364502,1.1452625393867493,0.14432364702224731
170,0.0013534461613744497,0.26049378514289856,3.728703498840332,1.0016467571258545,1.145172894001007,0.1435261368751526
171,0.0014919043751433492,0.2593171000480652,3.737549304962158,1.0017075538635254,1.1388474702835083,0.1371399164199829
172,0.0013147128047421575,0.2660691738128662,3.7602694034576416,0.9984076023101807,1.138060450553894,0.13965284824371338
173,0.0011701260227710009,0.2797527313232422,3.7354114055633545,1.003822684288025,1.141304075717926,0.13748139142990112
174,0.001247227774001658,0.27608123421669006,3.7526116371154785,1.0022258758544922,1.1546566486358643,0.15243077278137207
175,0.0012273099273443222,0.2666306793689728,3.7316505908966064,1.0010333061218262,1.1403074264526367,0.13927412033081055
176,0.001267080893740058,0.25666743516921997,3.7089457511901855,1.0036019086837769,1.1447346806526184,0.14113277196884155
